name,what,who,address_1,address_2,suburb,phone,phone_2,free_call,email,website,twitter,social_media,monday,tuesday,wednesday,thursday,friday,saturday,sunday,public_holidays,cost,tram_routes,bus_routes,nearest_train_station,category_1,category_2,category_3,category_4,category_5,category_6,longitude,latitude,geocoded_location,Organisation Legal Name,Outlet Name,Organistaion Website,Outlet Address,Town or Suburb,Postcode,Activity External Name,SA2,SA3,SA4,LGA,Federal Electorate,Latitude,Longitude,Location Withheld,category,Unnamed: 0,Serial No.,Estimate type,Gender,Chapter,Indicator,Indicator category,Stratified by,Sub-population,%,RSE,UL,LL,Sig.,Year
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4035.0,4036,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Loddon Mallee PHU,Swan Hill (RC),71.22178,,76.07555,65.82565,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4036.0,4037,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Ovens-Murray PHU,Towong (S),74.44045,,79.78138,68.25014,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4037.0,4038,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Ovens-Murray PHU,Wangaratta (RC),73.68095,,78.78777,67.84641,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4038.0,4039,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Barwon South-West PHU,Warrnambool (C),71.45844,,76.19279,66.20027,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4039.0,4040,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Gippsland PHU,Wellington (S),71.80129,,76.82451,66.16876,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4040.0,4041,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Grampians Wimmera Southern Mallee PHU,West Wimmera (S),79.91109,,84.42695,74.48153,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4041.0,4042,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of North Eastern PHU,Whitehorse (C),80.81007,,84.72643,76.17192,Higher,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4042.0,4043,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of North Eastern PHU,Whittlesea (C),68.98271,,73.59974,63.95367,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4043.0,4044,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Ovens-Murray PHU,Wodonga (RC),69.07985,,73.8075,63.91606,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4044.0,4045,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Western PHU,Wyndham (C),71.40935,,76.13347,66.16569,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4045.0,4046,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of North Eastern PHU,Yarra (C),81.21661,,84.95701,76.80014,Higher,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4046.0,4047,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of North Eastern PHU,Yarra Ranges (S),75.64588,,80.79093,69.64062,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4047.0,4048,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Grampians Wimmera Southern Mallee PHU,Yarriambiack (S),72.3106,,77.72991,66.14688,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4048.0,4049,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of North Eastern PHU,Victoria,74.21677,,74.96054,73.45872,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4049.0,4050,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of South East PHU,Victoria,74.21677,,74.96054,73.45872,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4050.0,4051,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Western PHU,Victoria,74.21677,,74.96054,73.45872,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4051.0,4052,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Barwon South-West PHU,Victoria,74.21677,,74.96054,73.45872,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4052.0,4053,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Grampians Wimmera Southern Mallee PHU,Victoria,74.21677,,74.96054,73.45872,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4053.0,4054,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Goulburn Valley PHU,Victoria,74.21677,,74.96054,73.45872,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4054.0,4055,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Gippsland PHU,Victoria,74.21677,,74.96054,73.45872,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4055.0,4056,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Ovens-Murray PHU,Victoria,74.21677,,74.96054,73.45872,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4056.0,4057,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,No or not often,LGAs of Loddon Mallee PHU,Victoria,74.21677,,74.96054,73.45872,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4057.0,4058,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Ovens-Murray PHU,Alpine (S),13.88148,,19.52975,9.670461,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4058.0,4059,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Grampians Wimmera Southern Mallee PHU,Ararat (RC),17.03231,,22.77531,12.50299,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4059.0,4060,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Grampians Wimmera Southern Mallee PHU,Ballarat (C),19.282,,23.85558,15.40783,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4060.0,4061,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of North Eastern PHU,Banyule (C),12.71149,,17.11536,9.313423,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4061.0,4062,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Gippsland PHU,Bass Coast (S),19.92002,,26.42438,14.6969,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4062.0,4063,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Gippsland PHU,Baw Baw (S),18.08724,,22.95439,14.06371,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4063.0,4064,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of South East PHU,Bayside (C),12.35216,,17.13924,8.760771,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4064.0,4065,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Goulburn Valley PHU,Benalla (RC),16.22904,,21.51163,12.04462,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4065.0,4066,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of North Eastern PHU,Boroondara (C),9.525548,,13.48406,6.639946,Lower,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4066.0,4067,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Western PHU,Brimbank (C),19.15795,,24.22072,14.94473,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4067.0,4068,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Loddon Mallee PHU,Buloke (S),21.51715,,27.45658,16.56908,Higher,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4068.0,4069,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Loddon Mallee PHU,Campaspe (S),18.68352,,23.82901,14.4385,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4069.0,4070,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of South East PHU,Cardinia (S),17.73183,,22.1371,14.04507,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4070.0,4071,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of South East PHU,Casey (C),20.19045,,24.93881,16.15165,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4071.0,4072,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Grampians Wimmera Southern Mallee PHU,Central Goldfields (S),20.74585,,27.2859,15.44049,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4072.0,4073,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Barwon South-West PHU,Colac-Otway (S),14.99809,,19.78784,11.20575,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4073.0,4074,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Barwon South-West PHU,Corangamite (S),18.03446,,23.238,13.78685,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4074.0,4075,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of North Eastern PHU,Darebin (C),14.76229,,18.91008,11.39643,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4075.0,4076,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Gippsland PHU,East Gippsland (S),15.85387,,21.58189,11.42464,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4076.0,4077,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of South East PHU,Frankston (C),21.50949,,26.49358,17.24307,Higher,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4077.0,4078,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Loddon Mallee PHU,Gannawarra (S),16.53407,,22.69332,11.79154,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4078.0,4079,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of South East PHU,Glen Eira (C),12.51922,,16.58462,9.338805,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4079.0,4080,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Barwon South-West PHU,Glenelg (S),16.35887,,21.59117,12.1973,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4080.0,4081,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Barwon South-West PHU,Golden Plains (S),17.12096,,21.72943,13.32349,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4081.0,4082,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Loddon Mallee PHU,Greater Bendigo (C),18.27542,,22.82331,14.46392,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4082.0,4083,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of South East PHU,Greater Dandenong (C),23.91483,,29.70802,18.94684,Higher,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4083.0,4084,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Barwon South-West PHU,Greater Geelong (C),11.76975,,15.92584,8.58747,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4084.0,4085,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Goulburn Valley PHU,Greater Shepparton (C),17.7843,,23.08282,13.48874,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4085.0,4086,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Grampians Wimmera Southern Mallee PHU,Hepburn (S),16.93395,,23.21206,12.0866,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4086.0,4087,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Grampians Wimmera Southern Mallee PHU,Hindmarsh (S),17.81315,,23.70243,13.13524,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4087.0,4088,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Western PHU,Hobsons Bay (C),13.79045,,18.00536,10.43663,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4088.0,4089,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Grampians Wimmera Southern Mallee PHU,Horsham (RC),14.03967,,18.65935,10.41724,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4089.0,4090,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of North Eastern PHU,Hume (C),19.2258,,23.89198,15.28789,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4090.0,4091,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Ovens-Murray PHU,Indigo (S),14.61642,,19.87642,10.56486,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4091.0,4092,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of South East PHU,Kingston (C),12.34363,,16.80024,8.942174,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4092.0,4093,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of North Eastern PHU,Knox (C),17.72624,,22.66542,13.67309,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4093.0,4094,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Gippsland PHU,Latrobe (C),16.37095,,21.03322,12.57753,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4094.0,4095,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Loddon Mallee PHU,Loddon (S),17.78223,,23.69863,13.08949,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4095.0,4096,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Loddon Mallee PHU,Macedon Ranges (S),14.89886,,19.89275,10.9867,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4096.0,4097,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of North Eastern PHU,Manningham (C),9.066229,,13.1516,6.159913,Lower,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4097.0,4098,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Goulburn Valley PHU,Mansfield (S),15.37515,,20.68453,11.23555,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4098.0,4099,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Western PHU,Maribyrnong (C),18.01358,,22.15966,14.49875,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4099.0,4100,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of North Eastern PHU,Maroondah (C),15.82556,,20.28975,12.19334,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4100.0,4101,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Western PHU,Melbourne (C),15.47864,,20.52683,11.49243,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4101.0,4102,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Western PHU,Melton (C),18.97737,,23.22663,15.35006,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4102.0,4103,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Western PHU,Merri-bek (C),13.99549,,18.66482,10.3457,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4103.0,4104,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Loddon Mallee PHU,Mildura (RC),19.31183,,24.18603,15.22269,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4104.0,4105,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Goulburn Valley PHU,Mitchell (S),17.98926,,22.71839,14.0654,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4105.0,4106,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Goulburn Valley PHU,Moira (S),16.5266,,21.53149,12.49976,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4106.0,4107,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of South East PHU,Monash (C),15.27799,,19.96197,11.53469,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4107.0,4108,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Western PHU,Moonee Valley (C),11.00084,,15.00212,7.966727,Lower,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4108.0,4109,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Grampians Wimmera Southern Mallee PHU,Moorabool (S),14.94488,,19.38387,11.37895,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4109.0,4110,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of South East PHU,Mornington Peninsula(S),10.65564,,15.33311,7.282329,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4110.0,4111,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Loddon Mallee PHU,Mount Alexander (S),11.20562,,16.7457,7.33687,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4111.0,4112,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Barwon South-West PHU,Moyne (S),16.34077,,21.53107,12.20701,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4112.0,4113,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Goulburn Valley PHU,Murrindindi (S),19.31717,,25.77271,14.16994,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4113.0,4114,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of North Eastern PHU,Nillumbik (S),13.70701,,18.29389,10.12766,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4114.0,4115,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Grampians Wimmera Southern Mallee PHU,Northern Grampians (S),17.46551,,22.88827,13.10911,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4115.0,4116,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of South East PHU,Port Phillip (C),10.91144,,14.71391,7.999462,Lower,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4116.0,4117,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Grampians Wimmera Southern Mallee PHU,Pyrenees (S),19.42154,,25.20578,14.70372,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4117.0,4118,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Barwon South-West PHU,Queenscliffe (B),4.403436,*,7.762893,2.459052,Lower,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4118.0,4119,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Gippsland PHU,South Gippsland (S),13.27434,,19.06,9.048588,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4119.0,4120,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Barwon South-West PHU,Southern Grampians (S),11.63471,,16.29199,8.178701,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4120.0,4121,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of South East PHU,Stonnington (C),10.78321,,14.9892,7.651208,Lower,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4121.0,4122,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Goulburn Valley PHU,Strathbogie (S),21.11069,,27.69807,15.74872,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4122.0,4123,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Barwon South-West PHU,Surf Coast (S),13.68741,,18.58113,9.925432,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4123.0,4124,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Loddon Mallee PHU,Swan Hill (RC),16.9472,,21.91305,12.92048,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4124.0,4125,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Ovens-Murray PHU,Towong (S),13.8932,,19.16135,9.896139,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4125.0,4126,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Ovens-Murray PHU,Wangaratta (RC),18.13722,,23.54916,13.7454,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4126.0,4127,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Barwon South-West PHU,Warrnambool (C),16.73505,,21.38783,12.928,--,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food Insecurity,4127.0,4128,Age-adjusted,People,Food insecurity,2. Worried about running out of money to buy food,Sometimes,LGAs of Gippsland PHU,Wellington (S),14.47547,,19.15339,10.78761,--,
